Topic,Repos,ProjectID,fileType,Sharedfiles
Application,wkentaro/labelme,P2,.svg,33
Application,wkentaro/labelme,P2,none,9
Application,wkentaro/labelme,P2,.png,2
Application,wkentaro/labelme,P2,.pm,2
Application,wkentaro/labelme,P2,.xml,2
Application,wkentaro/labelme,P2,.pl,2
Application,ageitgey/face_recognition,P1,none,10
Application,ageitgey/face_recognition,P1,.crt,1
Application,ageitgey/face_recognition,P1,.pm,1
Application,ageitgey/face_recognition,P1,.Debian.1,0
Application,ageitgey/face_recognition,P1,.json,0
Application,ageitgey/face_recognition,P1,.py,0
Application,deepfakes/faceswap,P4,none,6
Application,deepfakes/faceswap,P4,.1.1,2
Application,deepfakes/faceswap,P4,.pm,1
Application,deepfakes/faceswap,P4,.mo,1
Application,deepfakes/faceswap,P4,.xml,1
Application,deepfakes/faceswap,P4,.8.1,1
Application,nagadomi/waifu2x,P3,.svg,22
Application,nagadomi/waifu2x,P3,none,4
Application,nagadomi/waifu2x,P3,.rst,3
Application,nagadomi/waifu2x,P3,.mo,2
Application,nagadomi/waifu2x,P3,.png,2
Application,nagadomi/waifu2x,P3,.cmake,2
Application,numenta/nupic,P0,none,6
Application,numenta/nupic,P0,.3.1,3
Application,numenta/nupic,P0,.rst,2
Application,numenta/nupic,P0,.pl,2
Application,numenta/nupic,P0,.1.1,2
Application,numenta/nupic,P0,.pm,1